72.233.131.32,Active,SECVIDEO3,Safety and Security,True
72.233.131.44,Active,SECCONF,Safety and Security,True
72.233.131.136,Active,SECVIDEO2,Safety and Security,False
72.233.131.148,Active,SECSTAFF2,Safety and Security,True
72.233.131.150,Active,SECSTAFF4,Safety and Security,True
72.233.131.152,Active,WAREHOUSE3,Eaton,True
72.233.131.161,Active,SECVIDEO1,Safety and Security,True
72.233.133.2,Active,DLMH113-20,McKenna,False
72.233.133.6,Active,SBGELAB2,McKenna,True
72.233.133.7,Active,DLMH113-22,McKenna,True
72.233.133.11,Active,DLMH111,McKenna,True
72.233.133.13,Active,DLMH113-19,McKenna,False
72.233.133.17,Active,SBGELAB1,McKenna,True
72.233.133.18,Active,DLMH113-12,McKenna,True
72.233.133.19,Active,DLMH113-11,McKenna,False
72.233.133.21,Active,KIOSK-SBGE,McKenna,True
72.233.133.24,Active,DLMH113-14,McKenna,False
72.233.133.25,Active,SBE-STUDENT1,McKenna,True
72.233.133.27,Active,DLMH113-13,McKenna,False
72.233.133.29,Active,DLMH113-10,McKenna,False
72.233.133.31,Active,DLMH113,McKenna,True
72.233.133.33,Active,DLMH118,McKenna,True
72.233.133.34,Active,DLMH111,McKenna,True
72.233.133.35,Active,MCKENNA-CONFERE,McKenna,True
72.233.133.36,Active,DLMH113-06,McKenna,False
72.233.133.37,Active,DLMH-LAB,McKenna,True
72.233.133.44,Active,DLMH113-08,McKenna,False
72.233.133.45,Active,DLMH113-04,McKenna,False
72.233.133.130,Active,SBE-ADJUNCT,McKenna,True
72.233.133.132,Active,DLMH113-17,McKenna,False
72.233.133.135,Active,DHESS,McKenna,True
72.233.133.138,Active,DLMH113-07,McKenna,False
72.233.133.141,Active,DLMH117,McKenna,True
72.233.133.144,Active,DLMH113-18,McKenna,True
72.233.133.145,Active,DLMH113-03,McKenna,False
72.233.133.150,Active,DLMH113-23,McKenna,True
72.233.133.151,Active,DLMH113-15,McKenna,True
72.233.133.153,Active,DLMH113-24,McKenna,True
72.233.133.155,Active,DLMH113-05,McKenna,False
72.233.133.157,Active,DLMH113-21,McKenna,False
72.233.133.161,Active,DLMH113-16,McKenna,False
72.233.133.162,Active,DLMH113-01,McKenna,True
72.233.135.21,Active,CHRISTYBARNES,Human Resources,True
72.233.135.25,Active,FCS-CAD,Peterson,True
72.233.135.27,Active,SOE-SOA,Peterson,True
72.233.135.29,Active,SOE-GRAD-01,Peterson,True
72.233.135.38,Active,PET201,Peterson,True
72.233.135.41,Active,SOE-GRAD-02,Peterson,True
72.233.135.43,Active,PET302,Peterson,True
72.233.135.55,Active,FCS-ADJ2,Peterson,True
72.233.135.144,Active,SOE-VACANT1,Peterson,True
72.233.135.146,Active,FCS-LAB4,Peterson,True
72.233.135.150,Active,SOE-GRAD3,Peterson,True
72.233.135.152,Active,PET104,Peterson,True
72.233.135.153,Active,PET101,Peterson,True
72.233.135.159,Active,KIOSK-FCS-TV,Peterson,True
72.233.135.160,Active,PET303,Peterson,True
72.233.135.162,Active,FCS-ADJ,Peterson,True
72.233.135.163,Active,FCS-LAB-3,Peterson,True
72.233.132.9,Active,LIB-LL-A-008,Ames Library,True
72.233.132.20,ActiveReservation,LIB-INSTRUCT,Ames Library,False
72.233.132.25,Active,KIOSK-LIB-120,Ames Library,True
72.233.132.26,Active,LIB-LL-A-026,Ames Library,True
72.233.132.28,Active,LIB-STUDENTS,Ames Library,False
72.233.132.29,Active,EXTRON-LIBCLASS-CONTROL,Ames Library,True
72.233.132.30,Active,KIOSK-LIB-S0,Ames Library,True
72.233.132.31,Active,LIB-LL-A-014,Ames Library,True
72.233.132.34,Active,KIOSK-LIB-S3,Ames Library,True
72.233.132.35,Active,LIB-ML-A-001,Ames Library,True
72.233.132.36,Active,KIOSK-LIB-112,Ames Library,True
72.233.132.37,Active,LIB-ML-A-004,Ames Library,True
72.233.132.38,Active,LIB-ETM-STU,Ames Library,True
72.233.132.40,Active,LIB-LL-A-016,Ames Library,True
72.233.132.42,Active,LIB-LL-A-013,Ames Library,True
72.233.132.45,Active,LIB-VICK,Ames Library,True
72.233.132.46,Active,KIOSK-LIB-116,Ames Library,True
72.233.132.48,Active,LIB-LL-A-009,Ames Library,True
72.233.132.49,Active,LIB-LL-A-023,Ames Library,True
72.233.132.50,Active,LIB-ILL-STU,Ames Library,True
72.233.132.51,Active,LIB-BPAULSON,Ames Library,False
72.233.132.52,Active,LIB-LL-A-015,Ames Library,True
72.233.132.53,Active,LIB-LL-A-024,Ames Library,True
72.233.132.55,Active,KIOSK-LIB-110,Ames Library,True
72.233.132.56,Active,KIOSK-LIB-101,Ames Library,True
72.233.132.59,Active,LIB-ML-A-005,Ames Library,True
72.233.132.62,Active,LIB-LL-A-021,Ames Library,True
72.233.132.64,Active,LIB-CIRC01,Ames Library,True
72.233.132.65,Active,LIB-JULIE,Ames Library,True
72.233.132.66,Active,KIOSK-LIB-S1,Ames Library,True
72.233.132.71,Active,LIB-ML-A-003,Ames Library,True
72.233.132.72,Active,LIB-LL-A-006,Ames Library,True
72.233.132.80,Active,LIB-CIRC02,Ames Library,True
72.233.132.136,Active,ETM-iMac-Student,Ames Library,True
72.233.132.139,Active,localadinsiMac2,Ames Library,True
72.233.132.141,Active,KIOSK-LIB-08,Ames Library,True
72.233.132.142,Active,LIB-ML-A-006,Ames Library,True
72.233.132.144,Active,LIB-LINDAHL-N,Ames Library,True
72.233.132.145,Active,KIOSK-LIB-118,Ames Library,True
72.233.132.150,Active,KIOSK-LIB-115,Ames Library,True
72.233.132.151,Active,LIB-SHAW,Ames Library,True
72.233.132.152,Active,LIB-LL-A-018,Ames Library,True
72.233.132.153,Active,LIBClasmAppleTV,Ames Library,True
72.233.132.155,Active,KIOSK-LIB-109,Ames Library,True
72.233.132.156,Active,KIOSK-LIB-111,Ames Library,True
72.233.132.157,Active,KIOSK-LIB-114,Ames Library,True
72.233.132.159,Active,LIB-LL-A-025,Ames Library,True
72.233.132.161,Active,LIB-LL-A-010,Ames Library,True
72.233.132.162,Active,LIB-LL-A-007,Ames Library,True
72.233.132.163,Active,KIOSK-LIB-002,Ames Library,True
72.233.132.164,Active,LIB-ML-A-002,Ames Library,True
72.233.132.165,Active,LIB-LL-A-005,Ames Library,True
72.233.132.166,Active,LIB-HILT,Ames Library,True
72.233.132.168,Active,LIB-ML-CLASS,Ames Library,True
72.233.132.169,Active,LIB-SEM,Ames Library,True
72.233.132.170,Active,KIOSK-LIB-119,Ames Library,True
72.233.132.173,Active,LIB-LL-A-017,Ames Library,True
72.233.132.174,Active,KIOSK-LIB-117,Ames Library,True
72.233.132.177,Active,LIB-LL-A-019,Ames Library,True
72.233.132.178,Active,LIB-LL-A-020,Ames Library,True
72.233.132.180,Active,KIOSK-LIB-03,Ames Library,True
72.233.132.191,Active,LIB-MCNAYZ,Ames Library,True
72.233.132.192,Active,KIOSK-LIB-S2,Ames Library,True
72.233.140.2,Active,6NICK207,6 Nickerson,True
72.233.140.15,Active,SCCWATSON146,Marston/Watson,True
72.233.140.16,Active,SCCWATSON141,Marston/Watson,True
